Date,IBM
1962-01-02,1.4553722143173218
1962-01-03,1.4680936336517334
1962-01-04,1.4534633159637451
1962-01-05,1.4248405694961548
1962-01-08,1.398123025894165
1962-01-09,1.4146618843078613
1962-01-10,1.4172066450119019
1962-01-11,1.4324731826782227
1962-01-12,1.43501615524292
1962-01-15,1.4413777589797974
1962-01-16,1.4261115789413452
1962-01-17,1.4032132625579834
1962-01-18,1.4070302248001099
1962-01-19,1.408300518989563
1962-01-22,1.405758023262024
1962-01-23,1.3917632102966309
1962-01-24,1.3993966579437256
1962-01-25,1.384129524230957
1962-01-26,1.3771332502365112
1962-01-29,1.3535971641540527
1962-01-30,1.3364235162734985
1962-01-31,1.3790415525436401
1962-02-01,1.41084623336792
1962-02-02,1.4197514057159424
1962-02-05,1.4019404649734497
1962-02-06,1.4034043550491333
1962-02-07,1.4046754837036133
1962-02-08,1.4059487581253052
1962-02-09,1.4161289930343628
1962-02-12,1.4174001216888428
1962-02-13,1.3944969177246094
1962-02-14,1.3919520378112793
1962-02-15,1.386863112449646
1962-02-16,1.3855901956558228
1962-02-19,1.3715955018997192
1962-02-20,1.372231364250183
1962-02-21,1.3620529174804688
1962-02-23,1.3665052652359009
1962-02-26,1.361415147781372
1962-02-27,1.3639602661132812
1962-02-28,1.3665052652359009
1962-03-01,1.3830459117889404
1962-03-02,1.3944969177246094
1962-03-05,1.3894081115722656
1962-03-06,1.390681266784668
1962-03-07,1.3951336145401
1962-03-08,1.3983134031295776
1962-03-09,1.4072214365005493
1962-03-12,1.4059487581253052
1962-03-13,1.4046754837036133
1962-03-14,1.402130365371704
1962-03-15,1.3995866775512695
1962-03-16,1.4059487581253052
1962-03-19,1.4097654819488525
1962-03-20,1.4008593559265137
1962-03-21,1.402130365371704
1962-03-22,1.386863112449646
1962-03-23,1.3919520378112793
1962-03-26,1.391316533088684
1962-03-27,1.3652325868606567
1962-03-28,1.3728669881820679
1962-03-29,1.3690508604049683
1962-03-30,1.3556904792785645
1962-04-02,1.3372422456741333
1962-04-03,1.304160714149475
1962-04-04,1.298434853553772
1962-04-05,1.3257899284362793
1962-04-06,1.3245177268981934
1962-04-09,1.3257899284362793
1962-04-10,1.3308802843093872
1962-04-11,1.3130669593811035
1962-04-12,1.2990705966949463
1962-04-13,1.3181557655334473
1962-04-16,1.3168843984603882
1962-04-17,1.3232455253601074
1962-04-18,1.320701003074646
1962-04-19,1.320701003074646
1962-04-23,1.319427251815796
1962-04-24,1.3181557655334473
1962-04-25,1.304160714149475
1962-04-26,1.2710787057876587
1962-04-27,1.2354530096054077
1962-04-30,1.1552951335906982
1962-05-01,1.1756528615951538
1962-05-02,1.2023733854293823
1962-05-03,1.2271829843521118
1962-05-04,1.2367253303527832
1962-05-07,1.209370493888855
1962-05-08,1.1694748401641846
1962-05-09,1.147842526435852
1962-05-10,1.1529325246810913
1962-05-11,1.1351171731948853
1962-05-14,1.1567498445510864
1962-05-15,1.1503872871398926
1962-05-16,1.163112759590149
1962-05-17,1.1427520513534546
1962-05-18,1.1491150856018066
1962-05-21,1.1452970504760742
1962-05-22,1.1071207523345947
1962-05-23,1.0568547248840332
1962-05-24,1.0129519701004028
1962-05-25,1.0142241716384888
1962-05-28,0.9187828898429871
1962-05-29,0.9747750759124756
1962-05-31,0.9989531636238098
1962-06-01,0.9798659086227417
1962-06-04,0.9162386059761047
1962-06-05,0.9267362356185913
1962-06-06,0.9302359819412231
1962-06-07,0.9416894912719727
