Date,NKE
1980-12-02,0.12357184290885925
1980-12-03,0.12088499218225479
1980-12-04,0.12491485476493835
1980-12-05,0.11819883435964584
1980-12-08,0.11148270964622498
1980-12-09,0.10879655927419662
1980-12-10,0.10208116471767426
1980-12-11,0.09670817106962204
1980-12-12,0.10073740035295486
1980-12-15,0.10476726293563843
1980-12-16,0.10208116471767426
1980-12-17,0.09805125743150711
1980-12-18,0.10073740035295486
1980-12-19,0.10476726293563843
1980-12-22,0.10476726293563843
1980-12-23,0.10745352506637573
1980-12-24,0.11148270964622498
1980-12-26,0.11282646656036377
1980-12-29,0.11148270964622498
1980-12-30,0.11416953057050705
1980-12-31,0.11282646656036377
1981-01-02,0.11551268398761749
1981-01-05,0.12021379172801971
1981-01-06,0.12088499218225479
1981-01-07,0.11416953057050705
1981-01-08,0.11148270964622498
1981-01-09,0.1101396381855011
1981-01-12,0.11148270964622498
1981-01-13,0.11416953057050705
1981-01-14,0.11819883435964584
1981-01-15,0.11819883435964584
1981-01-16,0.11819883435964584
1981-01-19,0.11819883435964584
1981-01-20,0.11416953057050705
1981-01-21,0.11282646656036377
1981-01-22,0.10745352506637573
1981-01-23,0.1101396381855011
1981-01-26,0.10745352506637573
1981-01-27,0.10745352506637573
1981-01-28,0.10745352506637573
1981-01-29,0.10745352506637573
1981-01-30,0.1034243032336235
1981-02-02,0.10073740035295486
1981-02-03,0.10073740035295486
1981-02-04,0.10073740035295486
1981-02-05,0.1034243032336235
1981-02-06,0.1034243032336235
1981-02-09,0.10073740035295486
1981-02-10,0.10073740035295486
1981-02-11,0.09805125743150711
1981-02-12,0.09805125743150711
1981-02-13,0.09670817106962204
1981-02-17,0.09670817106962204
1981-02-18,0.099394291639328
1981-02-19,0.10208116471767426
1981-02-20,0.10073740035295486
1981-02-23,0.10073740035295486
1981-02-24,0.10208116471767426
1981-02-25,0.10208116471767426
1981-02-26,0.1034243032336235
1981-02-27,0.1034243032336235
1981-03-02,0.1034243032336235
1981-03-03,0.10611038655042648
1981-03-04,0.10611038655042648
